complaint_id,customer_id,issue_type,severity,complaint_date,resolution_status,resolution_date
CMP00001,CUST003351,Fraudulent Charge,Critical,10-05-2024,Resolved,07-06-2024
CMP00002,CUST007916,Billing Dispute,Critical,05-06-2022,Resolved,29-06-2022
CMP00003,CUST001201,Card Damaged,Medium,24-06-2023,Open,30-06-2023
CMP00004,CUST012855,Card Not Received,Critical,01-02-2023,Resolved,12-02-2023
CMP00005,CUST008858,Statement Error,Low,13-11-2022,Open,05-12-2022
CMP00006,CUST001580,Late Fee Dispute,Low,20-08-2022,In Progress,15-09-2022
CMP00007,CUST008087,Statement Error,High,23-01-2024,Pending Review,23-01-2024
CMP00008,CUST004859,Reward Points Missing,High,14-08-2025,Resolved,09-04-2025
CMP00009,CUST012325,Interest Rate Query,Low,30-12-2025,Escalated,16-08-2023
CMP00010,CUST004021,Interest Rate Query,Medium,13-03-2024,Pending Review,04-01-2024
CMP00011,CUST001919,Interest Rate Query,Low,17-05-2022,In Progress,21-06-2022
CMP00012,CUST007188,Interest Rate Query,Medium,02-08-2023,Open,23-03-2023
CMP00013,CUST007941,Card Not Received,Low,26-03-2025,Pending Review,14-04-2025
CMP00014,CUST005781,Billing Dispute,Low,31-03-2024,In Progress,15-05-2024
CMP00015,CUST011589,Billing Dispute,High,10-04-2023,Escalated,02-11-2023
CMP00016,CUST012128,Billing Dispute,Low,29-01-2022,Open,02-03-2022
CMP00017,CUST008586,App Not Working,Medium,06-02-2025,Resolved,07-07-2025
CMP00018,CUST001759,Late Fee Dispute,High,20-07-2026,Open,24-08-2026
CMP00019,CUST004333,Reward Points Missing,High,22-12-2025,Closed,14-01-2026
CMP00020,CUST005422,Card Damaged,Low,21-06-2023,Resolved,26-06-2023
CMP00021,CUST001477,Fraudulent Charge,High,22-10-2022,Resolved,16-08-2023
CMP00022,CUST009730,Card Damaged,Medium,02-12-2026,Resolved,29-03-2026
CMP00023,CUST006895,Billing Dispute,High,11-02-2025,Resolved,28-11-2025
CMP00024,CUST004840,Reward Points Missing,Critical,29-09-2023,Resolved,29-10-2023
CMP00025,CUST009460,App Not Working,Low,20-09-2023,Resolved,10-10-2023
CMP00026,CUST000555,Card Not Received,Medium,12-12-2024,Open,20-01-2025
CMP00027,CUST007769,Late Fee Dispute,Medium,19-04-2026,Pending Review,16-05-2026
CMP00028,CUST012792,Fraudulent Charge,Medium,14-11-2023,Pending Review,16-08-2023
CMP00029,CUST014675,Wrong Amount Charged,Low,02-07-2025,Resolved,12-02-2025
