merchant_id,category,city,state,avg_transaction_value,risk_score,onboard_date,is_flagged_risky
MER00001,Education,London,England,668.97,0.41,22-03-2021,No
MER00002,Online Shopping,Melbourne,West Bengal,2970.55,0.97,30-04-2021,No
MER00003,Fashion,Coimbatore,Tamil Nadu,2193.4,0.89,12-01-2023,Yes
MER00004,Dining,Singapore,Singapore,2141.62,0.72,30-04-2024,No
MER00005,Insurance,Dubai,Dubai,4570.51,0.66,02-08-2022,No
MER00006,Automobile,London,England,100.07,0.02,14-07-2022,Yes
MER00007,Online Shopping,Kolkata,West Bengal,1019.16,0.6,22-10-2022,No
MER00008,Online Shopping,Sydney,Odisha,273.44,0.11,12-05-2023,Yes
MER00009,Travel,London,England,2690.13,0.88,12-07-2026,No
MER00010,Furniture,Pune,England,3814.1,0.5,17-05-2021,No
MER00011,Furniture,Sydney,Odisha,1141.19,0.27,02-10-2023,Yes
MER00012,Online Shopping,Bengaluru,Karnataka,982.68,0.93,04-01-2026,Yes
MER00013,Grocery,Dubai,Dubai,2249.7,0.97,22-05-2025,Yes
MER00014,Fashion,Manchester,England,257.2,0.79,15-09-2021,No
MER00015,Automobile,Phoenix,Andhra Pradesh,795.83,0.26,05-07-2025,No
MER00016,Jewelry,Pune,Dubai,1012.08,0.46,14-08-2026,No
MER00017,Utilities,Tokyo,Nagaland,1562.07,0.47,21-03-2021,No
MER00018,Furniture,Melbourne,West Bengal,1394.7,0.56,22-06-2025,No
MER00019,Automobile,Vancouver,Goa,568.11,0.48,04-09-2024,No
MER00020,Healthcare,Kolkata,West Bengal,1656.49,0.18,22-05-2021,No
MER00021,Electronics,London,England,5303.83,0.03,07-03-2026,No
MER00022,Electronics,Bengaluru,Karnataka,154.92,0.18,04-03-2025,No
MER00023,Electronics,Sydney,Odisha,2380.79,0.8,10-11-2024,Yes
MER00024,Fashion,Pune,Odisha,2060.11,0.76,11-09-2025,Yes
MER00025,Jewelry,Sydney,Odisha,5265.31,0.5,02-12-2024,Yes
MER00026,Furniture,Mumbai,Maharashtra,2173.22,0.48,11-01-2021,No
MER00027,Education,Bengaluru,Karnataka,2060.82,0.59,17-04-2025,No
MER00028,Utilities,Mumbai,Maharashtra,3037.66,0.37,10-10-2024,No
MER00029,Education,Coimbatore,Tamil Nadu,100.07,0.6,17-11-2021,Yes
MER00030,Insurance,London,England,1911.36,0.07,29-04-2023,No
MER00031,Fashion,Melbourne,West Bengal,1565.53,0.96,30-03-2026,No
MER00032,Entertainment,Houston,Telangana,1254.19,0.82,10-07-2021,No
MER00033,Fashion,Los Angeles,Manipur,265.65,0.82,23-01-2021,No
MER00034,Online Shopping,Phoenix,Andhra Pradesh,792.4,0.94,30-04-2023,No
MER00035,Healthcare,Phoenix,Andhra Pradesh,756.96,0.28,06-10-2022,No
MER00036,Healthcare,Chicago,Punjab,2676.53,0.03,18-05-2022,No
MER00037,Travel,Pune,Maharashtra,5167.93,0.96,05-02-2025,No
MER00038,Fashion,Singapore,Singapore,624.78,0.17,03-04-2022,No
MER00039,Fashion,Hyderabad,Telangana,255.11,0.72,11-08-2025,No
MER00040,Furniture,Coimbatore,Tamil Nadu,20206.5,0.25,21-01-2025,Yes
